,Cross_val,CSa,EC,CSn,EO,BWS,All,Description
0,0.926292067935,100.0,97.0149253731,48.3333333333,92.0,98.7654320988,90.2010050251,original
1,0.922680226742,100.0,100.0,61.6666666667,88.0,90.7407407407,88.9447236181,10.0
2,0.925380259701,100.0,97.0149253731,48.3333333333,90.0,87.037037037,85.175879397,15.0
3,0.931362947309,100.0,98.5074626866,56.6666666667,90.0,88.8888888889,87.4371859296,20.0
4,0.93557440962,100.0,98.5074626866,50.0,90.0,91.975308642,87.6884422111,25.0
5,0.931648022055,98.3050847458,100.0,55.0,88.0,93.2098765432,88.6934673367,30.0
6,0.93166066893,98.3050847458,98.5074626866,50.0,90.0,95.6790123457,88.9447236181,35.0
7,0.934336656311,100.0,100.0,55.0,92.0,96.2962962963,90.7035175879,40.0
8,0.931648043238,100.0,98.5074626866,51.6666666667,90.0,88.2716049383,86.432160804,45.0
9,0.922357593955,100.0,100.0,53.3333333333,90.0,97.5308641975,90.7035175879,50.0
10,0.929539743993,100.0,98.5074626866,36.6666666667,90.0,98.1481481481,88.1909547739,55.0
11,0.93134519666,100.0,98.5074626866,50.0,90.0,89.5061728395,86.6834170854,60.0
12,0.931658036571,94.9152542373,100.0,50.0,90.0,88.8888888889,85.9296482412,65.0
