,Cross_val,CSa,EC,CSn,EO,BWS,All,Description
0,0.877150465145,100.0,100.0,11.6666666667,90.0,93.2098765432,82.6633165829,10linear
1,0.849009591041,98.3050847458,98.5074626866,1.66666666667,90.0,90.7407407407,79.648241206,10poly
2,0.831018949759,96.6101694915,98.5074626866,0.0,90.0,88.8888888889,78.391959799,10rbf
3,0.897532541967,98.3050847458,97.0149253731,21.6666666667,90.0,93.2098765432,83.4170854271,15linear
4,0.823118429224,91.5254237288,97.0149253731,0.0,90.0,98.7654320988,81.4070351759,15poly
5,0.843265012962,91.5254237288,97.0149253731,0.0,90.0,97.5308641975,80.9045226131,15rbf
6,0.898723055831,94.9152542373,94.0298507463,31.6666666667,90.0,86.4197530864,81.1557788945,20linear
7,0.869995869854,91.5254237288,94.0298507463,10.0,90.0,93.2098765432,80.1507537688,20poly
8,0.860696289201,91.5254237288,94.0298507463,10.0,90.0,93.2098765432,80.1507537688,20rbf
9,0.899318288461,94.9152542373,94.0298507463,23.3333333333,90.0,86.4197530864,79.8994974874,25linear
10,0.855876145244,91.5254237288,95.5223880597,8.33333333333,90.0,93.2098765432,80.1507537688,25poly
11,0.863953925805,91.5254237288,95.5223880597,10.0,90.0,93.2098765432,80.4020100503,25rbf
12,0.907717824321,100.0,94.0298507463,35.0,90.0,93.8271604938,85.4271356784,30linear
13,0.934948778791,98.3050847458,100.0,75.0,90.0,91.3580246914,91.2060301508,30poly
14,0.879525797159,96.6101694915,94.0298507463,18.3333333333,90.0,96.9135802469,83.6683417085,30rbf
15,0.908315727565,100.0,94.0298507463,35.0,90.0,94.4444444444,85.6783919598,35linear
16,0.937938456631,98.3050847458,100.0,80.0,90.0,91.3580246914,91.959798995,35poly
17,0.879827868728,96.6101694915,94.0298507463,16.6666666667,92.0,90.1234567901,80.9045226131,35rbf
18,0.90681783887,98.3050847458,94.0298507463,36.6666666667,90.0,94.4444444444,85.6783919598,40linear
19,0.942130111165,98.3050847458,100.0,76.6666666667,92.0,90.1234567901,91.2060301508,40poly
20,0.871117242945,96.6101694915,94.0298507463,16.6666666667,92.0,91.975308642,81.6582914573,40rbf
21,0.908913690148,98.3050847458,94.0298507463,35.0,90.0,94.4444444444,85.4271356784,45linear
22,0.945723872804,98.3050847458,100.0,75.0,92.0,89.5061728395,90.7035175879,45poly
23,0.866314133676,96.6101694915,94.0298507463,15.0,90.0,92.5925925926,81.4070351759,45rbf
24,0.908609782507,98.3050847458,94.0298507463,33.3333333333,90.0,94.4444444444,85.175879397,50linear
25,0.945423583046,98.3050847458,100.0,68.3333333333,92.0,90.7407407407,90.2010050251,50poly
26,0.860900522603,96.6101694915,94.0298507463,15.0,90.0,95.0617283951,82.4120603015,50rbf
27,0.908311275044,98.3050847458,94.0298507463,33.3333333333,90.0,94.4444444444,85.175879397,55linear
28,0.946912556157,98.3050847458,100.0,65.0,92.0,91.975308642,90.2010050251,55poly
29,0.855806072338,96.6101694915,94.0298507463,15.0,90.0,95.6790123457,82.6633165829,55rbf
30,0.908609782507,98.3050847458,94.0298507463,33.3333333333,90.0,94.4444444444,85.175879397,60linear
31,0.947826922757,98.3050847458,100.0,60.0,92.0,91.975308642,89.4472361809,60poly
32,0.850706210771,96.6101694915,94.0298507463,11.6666666667,90.0,96.9135802469,82.6633165829,60rbf
33,0.908609782507,98.3050847458,94.0298507463,33.3333333333,90.0,94.4444444444,85.175879397,65linear
34,0.947533777799,98.3050847458,100.0,61.6666666667,92.0,93.8271604938,90.4522613065,65poly
35,0.847722848655,96.6101694915,94.0298507463,8.33333333333,90.0,97.5308641975,82.4120603015,65rbf
