,Cross_val,CSa,EC,CSn,EO,BWS,All,Description
0,0.805784982058,100.0,100.0,28.5714285714,86.0,80.701754386,78.6096256684,10linear
1,0.669180936515,89.1304347826,86.2745098039,1.78571428571,26.0,98.2456140351,71.3903743316,10poly
2,0.863863719485,100.0,100.0,16.0714285714,88.0,80.701754386,77.0053475936,10rbf
3,0.83893465841,100.0,100.0,30.3571428571,86.0,82.4561403509,79.679144385,15linear
4,0.503572241734,82.6086956522,60.7843137255,0.0,4.0,100.0,64.7058823529,15poly
5,0.869618576469,100.0,100.0,19.6428571429,86.0,82.4561403509,78.0748663102,15rbf
6,0.892984499727,100.0,100.0,55.3571428571,88.0,84.7953216374,84.7593582888,20linear
7,0.458078194733,82.6086956522,33.3333333333,0.0,0.0,100.0,60.4278074866,20poly
8,0.879035637705,100.0,100.0,26.7857142857,86.0,87.134502924,81.2834224599,20rbf
9,0.889666808309,100.0,100.0,57.1428571429,88.0,87.7192982456,86.3636363636,25linear
10,0.424378643999,78.2608695652,9.80392156863,0.0,0.0,100.0,56.6844919786,25poly
11,0.870555249385,100.0,100.0,28.5714285714,86.0,87.7192982456,81.8181818182,25rbf
12,0.892701761441,100.0,100.0,55.3571428571,88.0,85.9649122807,85.2941176471,30linear
13,0.40494385272,73.9130434783,3.92156862745,0.0,0.0,100.0,55.3475935829,30poly
14,0.865683670368,100.0,100.0,30.3571428571,86.0,88.8888888889,82.6203208556,30rbf
15,0.899068227884,100.0,100.0,58.9285714286,88.0,90.0584795322,87.7005347594,35linear
16,0.389753355538,69.5652173913,1.96078431373,0.0,0.0,100.0,54.5454545455,35poly
17,0.859326403543,100.0,100.0,28.5714285714,86.0,90.0584795322,82.8877005348,35rbf
18,0.898766113081,100.0,100.0,58.9285714286,88.0,90.0584795322,87.7005347594,40linear
19,0.371246110622,63.0434782609,1.96078431373,0.0,0.0,100.0,53.743315508,40poly
20,0.855073814044,100.0,100.0,32.1428571429,86.0,90.0584795322,83.422459893,40rbf
21,0.898460302683,100.0,100.0,57.1428571429,88.0,90.0584795322,87.4331550802,45linear
22,0.356965715174,58.6956521739,1.96078431373,0.0,0.0,100.0,53.2085561497,45poly
23,0.851119593155,100.0,100.0,32.1428571429,86.0,90.0584795322,83.422459893,45rbf
24,0.899068205419,100.0,100.0,58.9285714286,88.0,90.0584795322,87.7005347594,50linear
25,0.3402665704,45.652173913,0.0,0.0,0.0,100.0,51.3368983957,50poly
26,0.849296794831,100.0,100.0,32.1428571429,86.0,88.8888888889,82.8877005348,50rbf
27,0.898762417487,100.0,100.0,58.9285714286,88.0,90.0584795322,87.7005347594,55linear
28,0.328708870183,32.6086956522,0.0,0.0,0.0,100.0,49.7326203209,55poly
29,0.844717125586,100.0,100.0,30.3571428571,86.0,88.8888888889,82.6203208556,55rbf
30,0.898762417487,100.0,100.0,58.9285714286,88.0,90.0584795322,87.7005347594,60linear
31,0.322327666295,23.9130434783,0.0,0.0,0.0,100.0,48.6631016043,60poly
32,0.841377311203,100.0,100.0,30.3571428571,86.0,88.8888888889,82.6203208556,60rbf
33,0.899066368855,100.0,100.0,58.9285714286,88.0,90.0584795322,87.7005347594,65linear
34,0.31898878426,15.2173913043,0.0,0.0,0.0,100.0,47.5935828877,65poly
35,0.83742961655,100.0,100.0,30.3571428571,86.0,89.4736842105,82.8877005348,65rbf
