,Cross_val,CSa,EC,CSn,EO,BWS,All,Description
0,0.844947585529,96.6101694915,94.0298507463,20.0,90.0,88.8888888889,80.6532663317,10linear
1,0.725070299322,93.2203389831,91.0447761194,1.66666666667,46.0,100.0,75.8793969849,10poly
2,0.894831496835,96.6101694915,97.0149253731,8.33333333333,90.0,85.1851851852,77.8894472362,10rbf
3,0.857573136434,98.3050847458,94.0298507463,20.0,92.0,90.7407407407,81.9095477387,15linear
4,0.535541253999,88.1355932203,61.1940298507,0.0,4.0,100.0,64.5728643216,15poly
5,0.891217054912,96.6101694915,97.0149253731,15.0,92.0,87.037037037,79.8994974874,15rbf
6,0.891796254677,98.3050847458,94.0298507463,31.6666666667,90.0,91.3580246914,83.6683417085,20linear
7,0.486318065806,86.4406779661,29.8507462687,0.0,0.0,100.0,58.5427135678,20poly
8,0.901739367793,96.6101694915,97.0149253731,13.3333333333,90.0,90.7407407407,80.9045226131,20rbf
9,0.899603297821,98.3050847458,94.0298507463,30.0,90.0,92.5925925926,83.9195979899,25linear
10,0.458377984464,81.3559322034,19.4029850746,0.0,0.0,100.0,56.0301507538,25poly
11,0.896037118446,96.6101694915,97.0149253731,16.6666666667,90.0,90.7407407407,81.4070351759,25rbf
12,0.9014041952,98.3050847458,94.0298507463,26.6666666667,90.0,93.2098765432,83.6683417085,30linear
13,0.429883012548,76.2711864407,11.9402985075,0.0,0.0,100.0,54.0201005025,30poly
14,0.885240526389,96.6101694915,95.5223880597,15.0,92.0,91.975308642,81.6582914573,30rbf
15,0.907417551152,98.3050847458,94.0298507463,31.6666666667,90.0,94.4444444444,84.9246231156,35linear
16,0.407360052511,71.186440678,10.447761194,0.0,0.0,100.0,53.0150753769,35poly
17,0.877724824144,96.6101694915,94.0298507463,18.3333333333,92.0,91.975308642,81.9095477387,35rbf
18,0.908613389848,98.3050847458,94.0298507463,35.0,90.0,94.4444444444,85.4271356784,40linear
19,0.381833022458,64.406779661,5.97014925373,0.0,0.0,100.0,51.256281407,40poly
20,0.870816942644,96.6101694915,94.0298507463,16.6666666667,92.0,91.975308642,81.6582914573,40rbf
21,0.908309482207,98.3050847458,94.0298507463,33.3333333333,90.0,94.4444444444,85.175879397,45linear
22,0.359309157999,52.5423728814,2.98507462687,0.0,0.0,100.0,48.9949748744,45poly
23,0.866314133676,96.6101694915,94.0298507463,15.0,90.0,92.5925925926,81.4070351759,45rbf
24,0.908311275044,98.3050847458,94.0298507463,33.3333333333,90.0,94.4444444444,85.175879397,50linear
25,0.339470024049,47.4576271186,1.49253731343,0.0,0.0,100.0,47.9899497487,50poly
26,0.860900522603,96.6101694915,94.0298507463,15.0,90.0,95.0617283951,82.4120603015,50rbf
27,0.909212197611,98.3050847458,94.0298507463,35.0,90.0,94.4444444444,85.4271356784,55linear
28,0.330157871481,35.593220339,0.0,0.0,0.0,100.0,45.9798994975,55poly
29,0.855806072338,96.6101694915,94.0298507463,15.0,90.0,95.6790123457,82.6633165829,55rbf
30,0.908910082807,98.3050847458,94.0298507463,35.0,90.0,94.4444444444,85.4271356784,60linear
31,0.32234272495,27.1186440678,0.0,0.0,0.0,100.0,44.7236180905,60poly
32,0.851003829819,96.6101694915,94.0298507463,11.6666666667,90.0,96.9135802469,82.6633165829,60rbf
33,0.908913690148,98.3050847458,94.0298507463,35.0,90.0,94.4444444444,85.4271356784,65linear
34,0.317539626613,13.5593220339,0.0,0.0,0.0,100.0,42.7135678392,65poly
35,0.847722848655,96.6101694915,94.0298507463,8.33333333333,90.0,97.5308641975,82.4120603015,65rbf
