,Cross_val,CSa,EC,CSn,EO,BWS,All,Description
0,0.908407103286,100.0,98.0392156863,58.9285714286,86.0,91.8128654971,87.9679144385,original
1,0.867779333263,100.0,98.0392156863,33.9285714286,88.0,74.269005848,76.4705882353,10.0
2,0.867807780273,97.8260869565,100.0,25.0,90.0,71.9298245614,74.3315508021,15.0
3,0.871454292471,97.8260869565,100.0,39.2857142857,88.0,77.1929824561,78.6096256684,20.0
4,0.872368881686,100.0,100.0,33.9285714286,92.0,77.1929824561,78.6096256684,25.0
5,0.865430485498,100.0,100.0,28.5714285714,88.0,80.1169590643,78.6096256684,30.0
6,0.856581647282,95.652173913,98.0392156863,48.2142857143,88.0,81.8713450292,81.550802139,35.0
7,0.866922514149,97.8260869565,100.0,51.7857142857,96.0,72.514619883,79.4117647059,40.0
8,0.857553394642,97.8260869565,100.0,39.2857142857,80.0,82.4561403509,79.9465240642,45.0
9,0.85386531536,93.4782608696,100.0,30.3571428571,84.0,78.3625730994,76.7379679144,50.0
10,0.863902405328,95.652173913,100.0,35.7142857143,90.0,78.9473684211,78.8770053476,55.0
11,0.853856946892,97.8260869565,100.0,42.8571428571,78.0,75.4385964912,77.0053475936,60.0
12,0.851423679316,97.8260869565,100.0,39.2857142857,78.0,84.7953216374,80.7486631016,65.0
